I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,0.02,,-0.021,0.012,0.008,,,,,,
,0.017,,-0.013,0.0,0.012,,,,,,
,0.012,,-0.01,0.0,0.009,,,,,,
,0.005,,-0.004,-0.001,0.004,,,,,,
,0.002,,-0.002,0.0,0.001,,,,,,
,-0.003,,0.001,0.002,-0.003,,,,,,
,-0.013,,0.001,0.019,-0.019,,,,,,
,-0.023,,-0.002,0.04,-0.037,,,,,,
,-0.036,,0.009,0.034,-0.043,,,,,,
,-0.037,,0.017,0.022,-0.039,,,,,,
,-0.033,,0.019,0.013,-0.032,,,,,,
,-0.033,,0.023,0.004,-0.026,,,,,,
,-0.027,,0.02,0.001,-0.02,,,,,,
,-0.042,,0.036,-0.006,-0.028,,,,,,
,-0.058,,0.051,-0.013,-0.036,,,,,,
,-0.053,,0.046,-0.011,-0.034,,,,,,
,-0.052,,0.045,-0.011,-0.033,,,,,,
,-0.049,,0.042,-0.009,-0.031,,,,,,
,-0.049,,0.043,-0.01,-0.031,,,,,,
,-0.044,,0.039,-0.011,-0.026,,,,,,
,-0.045,,0.041,-0.012,-0.027,,,,,,
,-0.04,,0.035,-0.01,-0.025,,,,,,
,-0.04,,0.035,-0.009,-0.024,,,,,,
,-0.035,,0.03,-0.007,-0.022,,,,,,
,-0.035,,0.029,-0.007,-0.022,,,,,,
,-0.033,,0.029,-0.007,-0.02,,,,,,
,-0.029,,0.027,-0.011,-0.016,,,,,,
,-0.03,,0.03,-0.014,-0.015,,,,,,
,-0.025,,0.027,-0.016,-0.01,,,,,,
,-0.025,,0.027,-0.018,-0.008,,,,,,
,-0.02,,0.026,-0.022,-0.003,,,,,,
,-0.019,,0.026,-0.024,-0.002,,,,,,
,-0.014,,0.02,-0.017,-0.001,,,,,,
,-0.015,,0.019,-0.016,-0.002,,,,,,
,-0.014,,0.019,-0.017,-0.001,,,,,,
,-0.016,,0.021,-0.017,-0.003,,,,,,
,-0.033,,0.039,-0.026,-0.01,,,,,,
,-0.034,,0.038,-0.024,-0.013,,,,,,
,-0.05,,0.051,-0.029,-0.022,,,,,,
,-0.051,,0.053,-0.03,-0.022,,,,,,
,-0.047,,0.05,-0.028,-0.02,,,,,,
,-0.045,,0.046,-0.026,-0.02,,,,,,
,-0.044,,0.047,-0.027,-0.019,,,,,,
,-0.041,,0.045,-0.028,-0.016,,,,,,
,-0.039,,0.046,-0.033,-0.012,,,,,,
,-0.038,,0.046,-0.036,-0.01,,,,,,
,-0.034,,0.049,-0.046,-0.001,,,,,,
,-0.034,,0.052,-0.054,0.001,,,,,,
,-0.028,,0.054,-0.067,0.012,,,,,,
,-0.031,,0.055,-0.063,0.007,,,,,,
,-0.023,,0.04,-0.046,0.005,,,,,,
,-0.027,,0.034,-0.027,-0.006,,,,,,
,-0.014,,0.016,-0.011,-0.004,,,,,,
,0.02,,-0.041,0.053,-0.01,,,,,,
,0.085,,-0.139,0.152,-0.012,,,,,,
,0.232,,-0.337,0.324,0.011,,,,,,
,0.444,,-0.594,0.521,0.072,,,,,,
,0.487,,-0.762,0.793,-0.031,,,,,,
,0.341,,-0.777,1.043,-0.265,,,,,,
,0.26,,-0.679,0.969,-0.288,,,,,,
,0.212,,-0.408,0.499,-0.09,,,,,,
,0.146,,-0.154,0.09,0.063,,,,,,
,0.074,,-0.033,-0.046,0.078,,,,,,
,0.072,,0.027,-0.164,0.136,,,,,,
,0.06,,0.052,-0.196,0.142,,,,,,
,0.054,,0.037,-0.157,0.119,,,,,,
,0.069,,0.0,-0.103,0.103,,,,,,
,0.056,,0.0,-0.087,0.086,,,,,,
,0.016,,0.026,-0.079,0.052,,,,,,
,0.001,,0.033,-0.069,0.036,,,,,,
,-0.019,,0.041,-0.054,0.012,,,,,,
,-0.03,,0.044,-0.043,0.0,,,,,,
,-0.052,,0.063,-0.048,-0.015,,,,,,
,-0.043,,0.066,-0.067,0.0,,,,,,
,-0.051,,0.072,-0.067,-0.005,,,,,,
,-0.082,,0.1,-0.077,-0.022,,,,,,
,-0.079,,0.094,-0.069,-0.024,,,,,,
,-0.08,,0.092,-0.065,-0.026,,,,,,
,-0.08,,0.089,-0.059,-0.03,,,,,,
,-0.08,,0.086,-0.054,-0.032,,,,,,
,-0.075,,0.085,-0.056,-0.027,,,,,,
,-0.074,,0.086,-0.06,-0.025,,,,,,
,-0.075,,0.088,-0.064,-0.024,,,,,,
,-0.074,,0.09,-0.067,-0.022,,,,,,
,-0.072,,0.084,-0.059,-0.024,,,,,,
,-0.068,,0.081,-0.061,-0.02,,,,,,
,-0.07,,0.081,-0.057,-0.023,,,,,,
,-0.069,,0.084,-0.065,-0.017,,,,,,
,-0.071,,0.088,-0.07,-0.018,,,,,,
,-0.065,,0.089,-0.079,-0.009,,,,,,
,-0.06,,0.089,-0.088,0.0,,,,,,
,-0.056,,0.082,-0.081,-0.001,,,,,,
,-0.053,,0.08,-0.082,0.001,,,,,,
,-0.045,,0.071,-0.076,0.004,,,,,,
,-0.043,,0.07,-0.077,0.006,,,,,,
,-0.037,,0.063,-0.073,0.007,,,,,,
,-0.035,,0.063,-0.072,0.01,,,,,,
,-0.032,,0.059,-0.07,0.01,,,,,,
,-0.03,,0.057,-0.07,0.012,,,,,,
,-0.026,,0.053,-0.067,0.013,,,,,,
,-0.024,,0.051,-0.067,0.015,,,,,,
,-0.024,,0.051,-0.066,0.014,,,,,,
,-0.017,,0.045,-0.065,0.018,,,,,,
,-0.01,,0.036,-0.058,0.021,,,,,,
,-0.001,,0.037,-0.074,0.035,,,,,,
,-0.004,,0.045,-0.085,0.039,,,,,,
,-0.032,,0.069,-0.09,0.021,,,,,,
,-0.023,,0.06,-0.087,0.025,,,,,,
,-0.011,,0.046,-0.076,0.028,,,,,,
,0.001,,0.033,-0.069,0.035,,,,,,
,0.01,,0.021,-0.06,0.037,,,,,,
,0.018,,0.013,-0.055,0.041,,,,,,
,0.021,,0.008,-0.049,0.04,,,,,,
,0.03,,,,,0.056,0.132,0.113,,,
,0.029,,,,,0.051,0.139,0.116,,,
,0.031,,,,,0.048,0.139,0.113,,,
,0.028,,,,,0.043,0.141,0.116,,,
,0.032,,,,,0.04,0.138,0.112,,,
,0.026,,,,,0.038,0.141,0.109,,,
,0.048,,,,,0.032,0.138,0.103,,,
,0.03,,,,,0.027,0.141,0.101,,,
,-0.015,,,,,0.021,0.138,0.095,,,
,-0.023,,,,,0.021,0.141,0.095,,,
,-0.003,,,,,0.06,0.138,0.09,,,
,0.007,,,,,0.074,0.142,0.087,,,
,0.018,,,,,0.065,0.135,0.082,,,
,0.028,,,,,0.052,0.113,0.079,,,
,0.043,,,,,0.04,0.089,0.074,,,
,0.044,,,,,0.029,0.068,0.074,,,
,0.019,,,,,0.024,0.038,0.05,,,
,0.002,,,,,0.025,0.02,0.031,,,
,-0.019,,,,,0.024,0.0,0.007,,,
,-0.019,,,,,0.025,-0.01,-0.01,,,
,-0.039,,,,,0.02,-0.034,-0.032,,,
,-0.041,,,,,0.019,-0.03,-0.049,,,
,-0.037,,,,,0.019,-0.038,-0.073,,,
,-0.056,,,,,0.02,-0.064,-0.076,,,
,-0.06,,,,,0.018,-0.058,-0.075,,,
,-0.048,,,,,0.014,-0.059,-0.07,,,
,-0.043,,,,,0.015,-0.054,-0.07,,,
,-0.036,,,,,0.014,-0.055,-0.068,,,
,-0.022,,,,,0.015,-0.054,-0.065,,,
,-0.005,,,,,0.012,-0.049,-0.063,,,
,-0.013,,,,,0.009,-0.05,-0.059,,,
,-0.025,,,,,0.01,-0.046,-0.06,,,
,-0.038,,,,,0.009,-0.044,-0.055,,,
,-0.048,,,,,0.01,-0.045,-0.055,,,
,-0.045,,,,,0.009,-0.043,-0.053,,,
,-0.041,,,,,0.01,-0.039,-0.049,,,
,-0.035,,,,,0.01,-0.038,-0.05,,,
,-0.054,,,,,0.009,-0.033,-0.045,,,
,-0.056,,,,,0.01,-0.035,-0.045,,,
,-0.051,,,,,0.009,-0.028,-0.044,,,
,-0.05,,,,,0.01,-0.03,-0.041,,,
,-0.046,,,,,0.009,-0.023,-0.039,,,
,-0.045,,,,,0.01,-0.026,-0.038,,,
,-0.043,,,,,0.006,-0.02,-0.034,,,
,-0.028,,,,,-0.002,-0.021,-0.035,,,
,-0.005,,,,,-0.01,-0.019,-0.035,,,
,-0.019,,,,,-0.015,-0.04,-0.052,,,
,-0.069,,,,,-0.01,-0.053,-0.071,,,
,-0.062,,,,,-0.007,-0.05,-0.083,,,
,-0.061,,,,,-0.002,-0.049,-0.077,,,
,-0.054,,,,,0.0,-0.05,-0.081,,,
,-0.053,,,,,0.006,-0.049,-0.075,,,
,-0.046,,,,,-0.007,-0.051,-0.075,,,
,-0.045,,,,,-0.012,-0.048,-0.074,,,
,-0.037,,,,,-0.007,-0.051,-0.075,,,
,-0.031,,,,,-0.003,-0.048,-0.07,,,
,-0.02,,,,,0.0,-0.051,-0.07,,,
,-0.021,,,,,0.004,-0.048,-0.069,,,
,-0.059,,,,,0.007,-0.052,-0.067,,,
,-0.072,,,,,0.016,-0.047,-0.063,,,
,-0.068,,,,,0.035,-0.053,-0.066,,,
,-0.077,,,,,0.051,-0.032,-0.063,,,
,-0.069,,,,,0.093,0.011,-0.046,,,
,-0.054,,,,,0.117,0.067,0.031,,,
,-0.031,,,,,0.126,0.202,0.186,,,
,-0.018,,,,,0.146,0.43,0.424,,,
,0.026,,,,,0.143,0.621,0.679,,,
,0.132,,,,,0.076,0.811,0.989,,,
,0.324,,,,,-0.051,0.829,1.211,,,
,0.408,,,,,-0.239,0.671,1.139,,,
,0.307,,,,,-0.452,0.379,0.778,,,
,0.293,,,,,-0.582,-0.035,0.303,,,
,0.263,,,,,-0.575,-0.864,-0.59,,,
,0.256,,,,,-0.467,-1.669,-1.497,,,
,0.197,,,,,-0.321,-1.71,-1.633,,,
,0.097,,,,,-0.262,-1.481,-1.441,,,
,0.06,,,,,-0.176,-1.175,-1.128,,,
,0.054,,,,,-0.136,-0.894,-0.849,,,
,0.044,,,,,-0.11,-0.645,-0.616,,,
,0.04,,,,,-0.076,-0.366,-0.368,,,
,0.03,,,,,-0.025,-0.195,-0.209,,,
,0.014,,,,,-0.001,-0.122,-0.14,,,
,-0.008,,,,,0.022,-0.094,-0.116,,,
,-0.07,,,,,0.037,-0.068,-0.097,,,
,-0.076,,,,,0.046,-0.057,-0.087,,,
,-0.073,,,,,0.043,-0.05,-0.081,,,
,-0.069,,,,,0.046,-0.041,-0.076,,,
,-0.07,,,,,0.043,-0.033,-0.07,,,
,-0.066,,,,,0.049,-0.029,-0.065,,,
,-0.064,,,,,0.049,-0.028,-0.059,,,
,-0.064,,,,,0.05,-0.024,-0.055,,,
,-0.059,,,,,0.049,-0.022,-0.047,,,
,-0.058,,,,,0.052,-0.013,-0.043,,,
,-0.054,,,,,0.054,-0.006,-0.036,,,
,-0.055,,,,,0.055,0.0,-0.033,,,
,-0.05,,,,,0.054,0.003,-0.025,,,
,-0.05,,,,,0.055,0.014,-0.022,,,
,-0.051,,,,,0.054,0.019,-0.013,,,
,-0.056,,,,,0.055,0.03,-0.009,,,
,-0.053,,,,,0.054,0.034,-0.002,,,
,-0.064,,,,,0.055,0.069,0.0,,,
,-0.068,,,,,0.054,0.075,0.008,,,
,-0.062,,,,,0.055,0.074,0.012,,,
,-0.059,,,,,0.055,0.073,0.028,,,
,-0.055,,,,,0.059,0.083,0.043,,,
,-0.051,,,,,0.074,0.122,0.074,,,
,-0.047,,,,,0.076,0.118,0.075,,,
,-0.043,,,,,0.073,0.121,0.075,,,
,-0.039,,,,,0.076,0.117,0.073,,,
,-0.035,,,,,0.074,0.132,0.082,,,
,-0.031,,,,,0.075,0.158,0.105,,,
,-0.026,,,,,0.074,0.156,0.112,,,
,-0.024,,,,,0.075,0.154,0.12,,,
,-0.022,,,,,0.074,0.155,0.12,,,
,-0.017,,,,,0.075,0.153,0.125,,,
,-0.014,,,,,0.074,0.149,0.123,,,
,-0.017,,,,,0.076,0.15,0.12,,,
,-0.026,,,,,0.073,0.15,0.119,,,
,-0.033,,,,,0.076,0.146,0.12,,,
,-0.03,,,,,0.072,0.144,0.119,,,
,-0.026,,,,,0.07,0.145,0.116,,,
,-0.022,,,,,0.066,0.142,0.114,,,
,-0.018,,,,,0.065,0.138,0.115,,,
,-0.013,,,,,0.061,0.141,0.115,,,
,-0.011,,,,,0.06,0.138,0.113,,,
,-0.004,,,,,0.058,0.16,0.109,,,
,0.001,,,,,0.055,0.157,0.11,,,
,0.013,,,,,0.05,0.15,0.109,,,
,0.025,,,,,0.047,0.146,0.11,,,
,0.01,,,,,0.042,0.139,0.109,,,
,0.007,,,,,0.039,0.135,0.125,,,
,-0.006,,,,,0.033,0.129,0.126,,,
,0.02,,,,,0.031,0.12,0.122,,,
,0.03,,,,,0.028,0.109,0.12,,,
,0.016,,,,,0.031,0.098,0.118,,,
,0.011,,,,,0.024,0.089,0.113,,,
,0.0,,,,,0.027,0.084,0.109,,,
,-0.02,,,,,0.02,0.08,0.105,,,
,-0.02,,,,,0.051,0.079,0.101,,,
,-0.019,,,,,0.096,0.075,0.097,,,
,-0.016,,,,,0.073,0.07,0.092,,,
,-0.014,,,,,0.058,0.07,0.073,,,
,-0.015,,,,,0.036,0.054,0.053,,,
,-0.011,,,,,0.026,0.033,0.033,,,
,-0.01,,,,,0.024,0.013,0.013,,,
,-0.008,,,,,0.026,-0.005,-0.005,,,
,-0.015,,,,,0.021,-0.018,-0.02,,,
,-0.026,,,,,0.019,-0.029,-0.038,,,
,-0.033,,,,,0.019,-0.043,-0.042,,,
,-0.041,,,,,0.019,-0.047,-0.037,,,
,-0.061,,,,,0.015,-0.045,-0.045,,,
,-0.057,,,,,0.014,-0.069,-0.063,,,
,-0.049,,,,,0.015,-0.06,-0.057,,,
,-0.039,,,,,0.011,-0.061,-0.054,,,
,-0.041,,,,,0.009,-0.056,-0.049,,,
,-0.072,,,,,0.01,-0.055,-0.049,,,
,-0.068,,,,,0.01,-0.051,-0.044,,,
,-0.066,,,,,0.005,-0.05,-0.041,,,
,-0.06,,,,,0.004,-0.046,-0.035,,,
,-0.058,,,,,0.005,-0.045,-0.035,,,
,-0.052,,,,,0.0,-0.04,-0.031,,,
,-0.05,,,,,0.0,-0.04,-0.029,,,
,-0.047,,,,,0.0,-0.038,-0.03,,,
,-0.044,,,,,0.0,-0.034,-0.026,,,
,-0.039,,,,,-0.005,-0.035,-0.024,,,
,-0.04,,,,,-0.005,-0.031,-0.025,,,
,-0.033,,,,,-0.004,-0.029,-0.024,,,
,-0.031,,,,,-0.009,-0.03,-0.02,,,
,-0.027,,,,,-0.009,-0.026,-0.019,,,
,-0.027,,,,,-0.01,-0.025,-0.02,,,
,-0.02,,,,,-0.01,-0.024,-0.015,,,
,-0.069,,,,,-0.026,-0.02,-0.014,,,
,-0.09,,,,,-0.025,-0.019,-0.014,,,
,-0.069,,,,,-0.024,-0.02,-0.015,,,
,-0.062,,,,,-0.025,-0.024,-0.022,,,
,-0.049,,,,,-0.025,-0.026,-0.026,,,
,-0.056,,,,,-0.022,-0.03,-0.032,,,
,-0.053,,,,,-0.019,-0.031,-0.034,,,
,-0.056,,,,,-0.02,-0.035,-0.028,,,
,-0.059,,,,,-0.019,-0.034,-0.03,,,
,-0.061,,,,,-0.019,-0.04,-0.029,,,
,-0.058,,,,,-0.014,-0.042,-0.03,,,
,-0.055,,,,,-0.015,-0.039,-0.029,,,
,-0.044,,,,,-0.014,-0.037,-0.027,,,
,-0.038,,,,,-0.015,-0.034,-0.023,,,
,-0.031,,,,,-0.013,-0.031,-0.026,,,
,-0.006,,,,,0.006,-0.029,-0.023,,,
,-0.019,,,,,0.024,-0.026,-0.027,,,
,-0.061,,,,,0.055,0.008,-0.021,,,
,-0.061,,,,,0.093,0.039,0.002,,,
,-0.019,,,,,0.111,0.117,0.094,,,
,-0.012,,,,,0.134,0.269,0.278,,,
,-0.019,,,,,0.127,0.462,0.494,,,
,0.023,,,,,0.116,0.647,0.748,,,
,0.134,,,,,0.073,0.811,1.052,,,
,0.315,,,,,-0.098,0.795,1.251,,,
,0.44,,,,,-0.294,0.631,1.136,,,
,0.404,,,,,-0.504,0.329,0.779,,,
,0.375,,,,,-0.601,-0.121,0.279,,,
,0.362,,,,,-0.562,-0.908,-0.62,,,
,0.341,,,,,-0.454,-1.576,-1.437,,,
,0.24,,,,,-0.32,-1.56,-1.523,,,
,0.122,,,,,-0.231,-1.336,-1.325,,,
,0.064,,,,,-0.169,-1.082,-1.062,,,
,0.068,,,,,-0.16,-0.831,-0.809,,,
,0.057,,,,,-0.121,-0.585,-0.573,,,
,0.056,,,,,-0.07,-0.336,-0.341,,,
,0.02,,,,,-0.041,-0.194,-0.197,,,
,-0.009,,,,,-0.011,-0.118,-0.132,,,
,-0.018,,,,,0.01,-0.085,-0.101,,,
,-0.031,,,,,0.037,-0.071,-0.076,,,
,-0.042,,,,,0.034,-0.059,-0.066,,,
,-0.065,,,,,0.035,-0.044,-0.061,,,
,-0.071,,,,,0.034,-0.035,-0.055,,,
,-0.074,,,,,0.035,-0.028,-0.05,,,
,-0.079,,,,,0.03,-0.019,-0.044,,,
,-0.078,,,,,0.03,-0.012,-0.039,,,
,-0.072,,,,,0.029,-0.005,-0.035,,,
,-0.071,,,,,0.03,-0.002,-0.034,,,
,-0.067,,,,,0.027,0.001,-0.034,,,
,-0.065,,,,,0.024,0.002,-0.031,,,
,-0.057,,,,,0.024,0.009,-0.029,,,
,-0.072,,,,,0.025,0.009,-0.03,,,
,-0.097,,,,,0.024,0.017,-0.022,,,
,-0.079,,,,,0.028,0.026,-0.012,,,
,-0.081,,,,,0.051,0.039,-0.005,,,
,-0.076,,,,,0.05,0.047,0.003,,,
,-0.075,,,,,0.049,0.065,0.015,,,
,-0.077,,,,,0.05,0.07,0.024,,,
,-0.081,,,,,0.049,0.074,0.031,,,
,-0.078,,,,,0.05,0.082,0.04,,,
,-0.083,,,,,0.049,0.097,0.047,,,
,-0.084,,,,,0.051,0.103,0.056,,,
,-0.085,,,,,0.047,0.121,0.068,,,
,-0.082,,,,,0.059,0.127,0.091,,,
,-0.076,,,,,0.068,0.123,0.11,,,
,-0.071,,,,,0.063,0.131,0.109,,,
,-0.069,,,,,0.066,0.158,0.114,,,
,-0.06,,,,,0.061,0.16,0.115,,,
,-0.058,,,,,0.059,0.16,0.119,,,
,-0.052,,,,,0.06,0.172,0.136,,,
,-0.042,,,,,0.06,0.189,0.146,,,
,-0.032,,,,,0.055,0.197,0.149,,,
,-0.02,,,,,0.054,0.193,0.147,,,
,-0.013,,,,,0.055,0.195,0.143,,,
,-0.009,,,,,0.05,0.194,0.145,,,
,-0.01,,,,,0.049,0.195,0.144,,,
,-0.007,,,,,0.05,0.194,0.143,,,
,-0.029,,,,,0.049,0.194,0.139,,,
,-0.059,,,,,0.044,0.189,0.14,,,
,-0.041,,,,,0.044,0.19,0.139,,,
,-0.038,,,,,0.039,0.189,0.14,,,
,-0.017,,,,,0.04,0.19,0.135,,,
,-0.048,,,,,0.036,0.189,0.135,,,
,-0.043,,,,,0.035,0.19,0.134,,,
,-0.021,,,,,0.03,0.188,0.135,,,
,0.0,,,,,0.029,0.174,0.134,,,
,0.013,,,,,0.028,0.161,0.129,,,
,0.007,,,,,0.021,0.148,0.121,,,
,-0.004,,,,,0.017,0.135,0.118,,,
,0.01,,,,,0.014,0.121,0.11,,,
,0.021,,,,,0.007,0.108,0.107,,,
,0.001,,,,,0.003,0.094,0.1,,,
,-0.008,,,,,0.0,0.081,0.09,,,
,0.018,,,,,-0.006,0.067,0.067,,,
,0.019,,,,,-0.015,0.055,0.05,,,
,-0.003,,,,,-0.009,0.04,0.027,,,
,-0.014,,,,,0.002,0.036,0.03,,,
,-0.036,,,,,0.014,0.03,0.028,,,
,-0.06,,,,,0.026,0.03,0.032,,,
,-0.044,,,,,0.046,0.026,0.03,,,
,-0.029,,,,,0.042,0.024,0.023,,,
,-0.013,,,,,0.033,0.02,0.021,,,
,-0.013,,,,,0.026,0.019,0.015,,,
,-0.015,,,,,0.017,0.014,0.009,,,
,-0.018,,,,,0.014,0.014,0.006,,,
,-0.02,,,,,0.015,0.009,0.002,,,
,-0.023,,,,,0.01,0.005,-0.001,,,
,-0.026,,,,,0.01,0.004,-0.004,,,
,-0.023,,,,,0.008,0.0,-0.006,,,
,-0.042,,,,,0.004,-0.004,-0.01,,,
,-0.051,,,,,0.005,-0.005,-0.012,,,
,-0.048,,,,,0.002,-0.008,-0.016,,,
,-0.05,,,,,0.0,-0.013,-0.017,,,
,-0.05,,,,,0.0,-0.015,-0.021,,,
,-0.061,,,,,-0.003,-0.018,-0.015,,,
,-0.076,,,,,-0.005,-0.02,-0.015,,,
,-0.056,,,,,-0.004,-0.015,-0.014,,,
,-0.042,,,,,-0.008,-0.015,-0.012,,,
,-0.026,,,,,-0.009,-0.014,-0.008,,,
,-0.048,,,,,-0.014,-0.011,-0.011,,,
,-0.051,,,,,-0.014,-0.009,-0.006,,,
,-0.048,,,,,-0.016,-0.01,-0.005,,,
,-0.051,,,,,-0.02,-0.008,-0.004,,,
,-0.047,,,,,-0.021,-0.005,-0.005,,,
,-0.045,,,,,-0.025,-0.004,-0.003,,,
,-0.044,,,,,-0.024,-0.005,0.0,,,
,-0.045,,,,,-0.021,0.0,0.0,,,
,-0.041,,,,,-0.019,0.0,0.0,,,
,-0.039,,,,,-0.02,0.0,0.0,,,
,-0.04,,,,,-0.015,-0.001,0.003,,,
,-0.039,,,,,-0.015,-0.004,0.005,,,
,-0.025,,,,,-0.014,-0.005,0.004,,,
,0.0,,,,,-0.014,-0.004,0.005,,,
,-0.002,,,,,-0.009,-0.007,0.004,,,
,-0.057,,,,,-0.01,-0.01,0.001,,,
,-0.05,,,,,-0.009,-0.01,0.0,,,
,-0.045,,,,,-0.006,-0.009,0.0,,,
,-0.034,,,,,-0.004,-0.013,-0.006,,,
,-0.029,,,,,-0.005,-0.015,-0.003,,,
,-0.018,,,,,-0.003,-0.015,-0.006,,,
,-0.013,,,,,0.002,-0.015,-0.009,,,
,-0.001,,,,,0.007,-0.01,-0.01,,,
,-0.01,,,,,0.009,-0.009,-0.012,,,
,-0.03,,,,,0.017,-0.01,-0.016,,,
,-0.049,,,,,0.021,-0.007,-0.014,,,
,-0.043,,,,,0.025,0.013,-0.006,,,
,-0.04,,,,,0.059,0.037,0.026,,,
,-0.056,,,,,0.086,0.073,0.042,,,
,-0.056,,,,,0.086,0.134,0.12,,,
,-0.017,,,,,0.113,0.275,0.293,,,
,-0.006,,,,,0.146,0.472,0.515,,,
,0.067,,,,,0.15,0.656,0.778,,,
,0.181,,,,,0.077,0.793,1.056,,,
,0.4,,,,,-0.064,0.811,1.274,,,
,0.501,,,,,-0.271,0.608,1.185,,,
,0.466,,,,,-0.478,0.311,0.84,,,
,0.467,,,,,-0.58,-0.092,0.38,,,
,0.445,,,,,-0.573,-0.875,-0.526,,,
,0.393,,,,,-0.481,-1.511,-1.361,,,
,0.239,,,,,-0.354,-1.531,-1.454,,,
,0.094,,,,,-0.254,-1.322,-1.314,,,
,0.062,,,,,-0.194,-1.053,-1.039,,,
,0.101,,,,,-0.168,-0.809,-0.781,,,
,0.069,,,,,-0.159,-0.581,-0.561,,,
,0.056,,,,,-0.105,-0.337,-0.327,,,
,0.023,,,,,-0.053,-0.166,-0.164,,,
,0.002,,,,,-0.038,-0.091,-0.096,,,
,-0.015,,,,,-0.021,-0.07,-0.075,,,
,-0.021,,,,,-0.006,-0.059,-0.062,,,
,-0.027,,,,,0.005,-0.044,-0.044,,,
,-0.009,,,,,0.006,-0.029,-0.032,,,
,0.015,,,,,0.012,-0.012,-0.029,,,
,-0.012,,,,,0.014,-0.001,-0.029,,,
,-0.068,,,,,0.017,0.007,-0.024,,,
,-0.055,,,,,0.02,0.01,-0.025,,,
,-0.063,,,,,0.025,0.018,-0.024,,,
,-0.052,,,,,0.029,0.019,-0.02,,,
,-0.058,,,,,0.031,0.01,-0.019,,,
,-0.05,,,,,0.034,0.004,-0.02,,,
,-0.051,,,,,0.036,0.017,-0.014,,,
,-0.048,,,,,0.039,0.04,-0.006,,,
,-0.05,,,,,0.041,0.055,-0.003,,,
,-0.042,,,,,0.045,0.054,0.003,,,
,-0.047,,,,,0.044,0.055,0.007,,,
,-0.038,,,,,0.04,0.054,0.013,,,
,-0.042,,,,,0.039,0.057,0.02,,,
,-0.036,,,,,0.04,0.079,0.04,,,
,-0.051,,,,,0.04,0.089,0.046,,,
,-0.077,,,,,0.039,0.094,0.055,,,
,-0.074,,,,,0.04,0.103,0.076,,,
,-0.069,,,,,0.039,0.113,0.081,,,
,-0.069,,,,,0.04,0.114,0.078,,,
,-0.062,,,,,0.039,0.116,0.082,,,
,-0.061,,,,,0.04,0.131,0.106,,,
,-0.058,,,,,0.039,0.139,0.113,,,
,-0.055,,,,,0.04,0.139,0.109,,,
,-0.049,,,,,0.038,0.144,0.108,,,
,-0.05,,,,,0.043,0.147,0.116,,,
,-0.044,,,,,0.077,0.18,0.153,,,
,-0.044,,,,,0.074,0.178,0.147,,,
,-0.039,,,,,0.075,0.181,0.146,,,
,-0.039,,,,,0.075,0.177,0.142,,,
,-0.034,,,,,0.071,0.197,0.139,,,
,-0.034,,,,,0.069,0.199,0.134,,,
,-0.028,,,,,0.07,0.188,0.134,,,
,-0.031,,,,,0.069,0.182,0.128,,,
,-0.024,,,,,0.065,0.172,0.126,,,
,-0.025,,,,,0.064,0.16,0.123,,,
,-0.018,,,,,0.065,0.153,0.121,,,
,-0.021,,,,,0.064,0.144,0.117,,,
,-0.015,,,,,0.059,0.137,0.116,,,
,-0.015,,,,,0.055,0.134,0.112,,,
,-0.01,,,,,0.051,0.135,0.111,,,
,-0.01,,,,,0.047,0.134,0.107,,,
,-0.008,,,,,0.043,0.135,0.105,,,
,-0.005,,,,,0.04,0.134,0.101,,,
,-0.004,,,,,0.044,0.134,0.1,,,
,-0.004,,,,,0.045,0.124,0.096,,,
,-0.013,,,,,0.049,0.12,0.095,,,
,-0.053,,,,,0.051,0.114,0.09,,,
,-0.046,,,,,0.054,0.11,0.09,,,
,-0.04,,,,,0.055,0.104,0.085,,,
,-0.029,,,,,0.047,0.099,0.085,,,
,-0.028,,,,,0.037,0.086,0.081,,,
,-0.007,,,,,0.026,0.069,0.065,,,
,0.003,,,,,0.016,0.053,0.048,,,
,0.026,,,,,0.01,0.042,0.034,,,
,0.018,,,,,0.009,0.026,0.018,,,
,0.0,,,,,0.01,0.011,0.0,,,
,-0.026,,,,,0.009,-0.005,-0.018,,,
,-0.063,,,,,0.01,-0.018,-0.036,,,
,-0.065,,,,,0.008,-0.021,-0.045,,,
,-0.063,,,,,0.004,-0.025,-0.044,,,
,-0.067,,,,,0.005,-0.029,-0.045,,,
,-0.069,,,,,0.004,-0.033,-0.045,,,
,-0.071,,,,,0.005,-0.037,-0.053,,,
,-0.067,,,,,0.004,-0.041,-0.059,,,
,-0.056,,,,,0.008,-0.045,-0.066,,,
,-0.047,,,,,0.017,-0.044,-0.066,,,
,-0.04,,,,,0.023,-0.045,-0.063,,,
,-0.032,,,,,0.019,-0.044,-0.06,,,
,-0.079,,,,,0.02,-0.045,-0.058,,,
,-0.079,,,,,0.019,-0.044,-0.055,,,
,-0.075,,,,,0.014,-0.045,-0.053,,,
,-0.073,,,,,0.014,-0.044,-0.049,,,
,-0.07,,,,,0.015,-0.045,-0.047,,,
,-0.064,,,,,0.013,-0.044,-0.043,,,
,-0.065,,,,,0.009,-0.045,-0.042,,,
,-0.059,,,,,0.01,-0.044,-0.038,,,
,-0.056,,,,,0.009,-0.045,-0.037,,,
,-0.053,,,,,0.004,-0.041,-0.033,,,
